User ID;Rank;Skipper;Team;Points
59eb3727e0750e372d64ec53;6413;lesucre;Team Pro Loisir 83  TPL83;51689
59c8ae70b395b292ed62b2d2;6414;AUT302; ;51688
5fabeb21a73ee0501851da82;6415;Guitou SkypeSpeed; ;51685
5eaa77e7080c8cbd451ff5c3;6416;TomBombadil;Alicante VR;51684
5fa806e3a73ee050184b96ab;6417;jarjarbinkss03;TEAM BOURGES VOILE;51683
5fa63f3da73ee05018b5127e;6418;krof;Les ions;51683
5fa9202ea73ee050181df21d;6419;PiraeNui; ;51682
59c449f9b395b292ed625e14;6420;hmeister; ;51679
5bc9f04e517022fc09d20773;6421;nelly1980;Noirmout;51678
59cb448eb395b292ed62d421;6422;Mister ZEN; ;51678
59c3faa5b395b292ed625372;6423;14KW605 F5TDK RJ-373;Radio-Ham;51677
63b6c9021a1f2a884bd1ffad;6424;zanders66; ;51676
5fac1c29a73ee05018c52894;6425;Griffon84100; ;51676
5bf068c3517022fc09ea1c57;6426;SkalaFirst305;ITA ST2.X Seconde Barche;51672
5bd61b04517022fc09d310bd;6427;Le Duc 50;Vigot Sailing Team;51672
619065a52a05eec9716be7bd;6428;NiniPower;PdB & Co;51669
5fa7da12a73ee050183d59b0;6429;Fabien BSK Immobilier;Team Var regatta;51667
615e9f322a05eec971e9f854;6430;ECHEC & MAT; ;51666
63fb5f508f02a8b61d7da07d;6431;kaptein Iglo;Dutch Regatta Heroes;51665
5f64c73352e859ef0303c646;6432;Bruche84; ;51664
59c803c9b395b292ed62abf9;6433;Kuipy; ;51664
606bb82f37e7cb7ea8ed2f85;6434;exu137-GVD;G V D;51662
5a52b8b37b296eaadfc95ed5;6435;RockyForkRonin;USA Great Lakes;51662
633db28d967d87a00cbf51ec;6436;Sonar;Chesapeake Offshore;51661
5fa5a54ea73ee05018af7b51;6437;mi2ben; ;51658
5eced5bb8e4c1d3e55e785f8;6438;Le bateau ivre; ;51658
5f8c704f52e859ef03105fbf;6439;laulo85470;Les rameurs de l’ouest;51658
59c13fdeb395b292ed6218d1;6440;Stery;les Couz' 😉;51657
5fa802dba73ee05018a2682d;6441;Pascal13090; ;51655
5fa600e3a73ee050184733f0;6442;Mike Haza; ;51655
59f82620e0750e372d67e644;6443;Toupi56; ;51654
59ce3d1ab395b292ed630b00;6444;lamiral; ;51650
59ce0aa2b395b292ed63038c;6445;Zico25;H2O;51649
59d72797b395b292ed643f74;6446;jojokawa; ;51648
632d6f4288cdf2e919bc13e9;6447;ORION 26;les amis dromois;51647
618830c92a05eec9714828a2;6448;AlfoP - YCI;•YACHT CLUB ITALIA•;51645
61eca1182a05eec97148ebc0;6449;)))FARO DE LA PLATA(((;EUSKAL HERRIA rock&ron;51644
5fac1450a73ee0501871fa3e;6450;Ewen-35; ;51643
63654344f9f811ae682a7333;6451;vieux loup des mers; ;51643
59d924f3e7821e2954918cb3;6452;Piret_1; ;51640
59fddc20e0750e372d68de2e;6453;Skipper42;tire la manette;51639
5da9d0be6f64cfd4344ae56b;6454;Michel_Jean_Moes;Fun&Sail;51637
5bdeab2b517022fc09d6083c;6455;NAVACK-C2B-ESF3;Coeur2Breizh-ESF3;51634
